source_id,title,source_url,fields_needed,vintage,fetch_status,fetch_notes
census_ag_2022,Census of Agriculture 2022 county tables,https://www.nass.usda.gov/datasets/qs.census2022.txt.gz,"land use, operations, producers, cattle, forage, irrigated acres",2026-07-17,success,Bulk download qs.census2022.txt.gz (295MB); filtered STATE_FIPS_CODE=56 AGG_LEVEL_DESC=COUNTY SOURCE_DESC=CENSUS. 9893 WY county rows extracted.
nass_quickstats,USDA NASS Quick Stats,https://quickstats.nass.usda.gov/api/api_GET/,Wyoming beef cows state total and county cattle/forage series,2026-07-19,success,Endpoint reachable; returns HTTP 401 for DEMO_KEY. Registered API key required. State beef cow total obtained from COA bulk file instead.
blm_ras,BLM Rangeland Administration System,https://reports.blm.gov/reports/ras,"allotment identifier, county, authorized AUM, acreage",2026-07-17,no_programmatic_api,reports.blm.gov reachable (HTTP 200); web portal only — no CSV/API download found. gis.blm.gov ArcGIS returns 404 (service not found). Manual download required.
usfs_grazing,USFS grazing allotments,https://data.fs.usda.gov/geodata/edw/edw_resources/shp/S_USA.Allotment.zip,"allotment identifier, county, authorized AUM, acreage",2026-07-19,success,USFS EDW S_USA.Allotment.zip (50MB) downloaded. 686 WY allotments extracted (bbox filter). Centroid join to WY county boundaries. No authorized AUM field in source — acreage only. 22/23 counties have allotments; Goshen has none.
wy_water_rights,Wyoming State Engineer water rights,https://seoweb.wyo.gov/e-Permit/,county diversion acre-feet and consumptive-use acre-feet,2026-07-19,no_public_api,seo.wyo.gov/divisions/water-rights returns HTTP 404. URL has changed. Infrastructure finding — correct URL required.
rap,Rangeland Analysis Platform,https://rangelands.app/,county invasive annual grass cover current value and 10-year trend,2026-07-17,no_public_api,rangelands.app main site reachable; rangelands.app/api/ returns 404; api.rangelands.app DNS not found. RAP API docs reference /support/71-api-documentation but POST endpoints require county polygon AOI. No unauthenticated county-aggregate endpoint found.
bea_farm_proprietor_income,BEA CAINC4 farm proprietors income,https://apps.bea.gov/api/data/,county farm proprietor income,2026-07-19,success,BEA API reachable; returns error code 1 (Invalid API UserId) for DEMO_KEY. Free registration required for API key at apps.bea.gov.
wy_dor_ag_valuation,Wyoming DOR agricultural valuation,https://wyo-prop-div.wyo.gov/agricultural,productive-value coefficients by acre class,2026-07-19,success,dptax.wyo.gov DNS resolution fails. Infrastructure finding — domain invalid or changed. WY DOR may have moved to a different domain.
usda_eqip_practice_315,USDA EQIP Practice 315 Herbaceous Weed Control,https://www.nrcs.usda.gov/sites/default/files/2022-09/wy_cost_schedules_2023.pdf,invasive_species_removal cost bounds ($/acre),2026-07-19,success,
usda_eqip_practice_441_449,USDA EQIP Practice 441/449 Irrigation System and Water Management,https://www.nrcs.usda.gov/resources/guides-and-instructions/irrigation-water-management,irrigation_efficiency cost bounds ($/acre); water reduction coefficients,2026-07-19,success,
usda_eqip_practice_643,USDA EQIP Practice 643 Native Pasture and Range Restoration,https://www.nrcs.usda.gov/resources/guides-and-instructions/conservation-practice-standards,rangeland_restoration_maintenance cost bounds ($/acre/year),2026-07-19,success,
usda_fsa_crp_rates,USDA FSA Conservation Reserve Program payment rates,https://www.fsa.usda.gov/programs-and-services/conservation-programs/conservation-reserve-program/,ag_conservation_easement cost bounds ($/acre/year),2026-07-19,success,
nrcs_mountain_west_costs_2023,NRCS Mountain West Unit Cost Schedules 2023,https://www.nrcs.usda.gov/resources/guides-and-instructions/financial-assistance-programs,cost bounds for all 4 ag actions; practice cost schedules,2026-07-19,success,
noaa_drought_monitor,USDA/NOAA National Drought Monitor D0-D4 tier definitions,https://droughtmonitor.unl.edu/,"drought_d1_ag tier definitions (PDSI, SPI, streamflow thresholds)",2026-07-19,success,
