action_id,capital_tier,E_effect_0_to_200,Ec_effect_0_to_200,S_effect_0_to_200,composite_effect_0_to_200,best_magnitude_pct,capex_per_unit,capex_source,cost_efficiency_per_$1M,cost_status
prairie_restoration,terrestrial_ecosystem,0.21465970956688674,0.0,0.0,0.07155323652229573,75.0,150.0,USDA EQIP Practice 643 (Native Pasture and Range Restoration); NRCS Mountain West unit cost schedules 2023,0.0238510788408,sourced
invasive_treatment,terrestrial_ecosystem,0.007351868854390098,0.0,0.0,0.002450622951463366,25.0,80.0,USDA EQIP Practice 315 (Herbaceous Weed Control); BLM Integrated Weed Management cost data 2022,0.00153163934467,sourced
irrigation_efficiency,agriculture,0.0030694819467016465,0.0012277927786810139,0.0006138963893400629,0.0016370570382413518,75.0,600.0,"USDA EQIP Practice 441 (Irrigation System, Microirrigation): $400–$800/acre installed. Practice 449 (Irrigation Water Management): $10–$50/acre for management-only improvements. Range reflects pivot-to-drip conversion (high) vs. lateral-move improvement (low). Source: NRCS Mountain West unit cost schedules 2023; Brosz (2003) WY Irrigation.",0.00136421419854,sourced
riparian_buffer,hydrological_restoration,0.184008624422197,0.0,0.0,0.06133620814073293,25.0,8000.0,USDA EQIP Practice 391 (Riparian Forest Buffer); NRCS Mountain West unit cost schedules 2023,0.00038335130088,sourced
workforce_retraining,settlement_social,0.0,0.0010867129263436581,0.004348557691128185,0.0018117568724909106,25.0,8500.0,DOL Workforce Innovation and Opportunity Act program cost data; NASWA state workforce agency reports 2023,0.000106573933676,sourced
transmission_230kv,energy_transmission,0.0,0.048997487024740494,0.0049014505950415455,0.017966312539926754,50.0,2500000.0,"Liming & Tegen (2011, NREL TP-5500-48175); DOE National Transmission Needs Study 2023",3.59326250799e-05,sourced
affordable_housing,settlement_social,0.0,0.0,0.009868991287660833,0.003289663762553907,50.0,180000.0,NLIHC Out of Reach 2023; HUD affordable housing development cost database Mountain West,1.8275909792e-05,sourced
health_clinic,settlement_social,0.0,0.0,0.00024019651228357475,8.006550409422886e-05,200.0,4500000.0,HRSA FQHC New Access Points capital cost estimate; NACHC cost studies 2022,8.89616712188e-06,sourced
rural_broadband,settlement_social,0.0,0.0008322870401205051,0.006240112881680915,0.002357466640599881,50.0,3500.0,FCC Rural Digital Opportunity Fund program data; NTIA BEAD program cost estimates 2023,3.36780948658e-06,sourced
coal_repowering,energy_generation,0.0,0.001227456751183631,0.0007369858464363332,0.0006548141992075429,25.0,300000.0,NETL Cost and Performance Baseline for Fossil Energy Plants Vol. 1 (2019); DOE Coal to Gas/H2 repowering studies,1.09135699868e-06,sourced
wind_utility,energy_generation,0.0005874967342021087,0.004404185587300269,0.0002937483671008323,0.0017618102295342553,50.0,1430000.0,"NREL ATB 2024 v3.0 — Land-Based Wind, Moderate scenario, Class 4",6.16017562776e-07,sourced
solar_utility,energy_generation,1.4134749644068023e-05,0.00016952276406279054,1.4134749643623934e-05,6.593075444971674e-05,25.0,1555200.0,ATB 2024 local file — UtilityPV,2.11968732164e-08,sourced
geothermal_utility,energy_generation,-0.0005099798039949199,0.0018359272943815341,0.000509979803995364,0.0006119757647944368,,,null — unsourced capex,null — unsourced capex,unsourced capex: no capex/cost source citation
smr_advanced,energy_generation,-0.005688166809677764,0.06636194611290325,0.022752667238710167,0.027808815513978402,,,null — unsourced capex,null — unsourced capex,unsourced capex: no capex/cost source citation
coal_to_solar,energy_generation,1.7799314366406804e-05,4.44982859164611e-05,1.7799314366406804e-05,2.6698971549166117e-05,,,null — unsourced capex,null — unsourced capex,unsourced capex: no capex/cost source citation
battery_grid,energy_storage,0.0,0.001935570735505543,0.0012097317096912974,0.0010484341483989468,,,null — unsourced capex,null — unsourced capex,unsourced capex: no capex/cost source citation
